ID,ENERGY,COST,tout-droit,devant-droite,droite,derriere-droite,derriere,derriere-gauche,gauche,devant-gauche
NewCHILD,,,952,197,214,822,1000,687,184,536,
NewCHILD,,,733,448,587,633,441,1000,370,413,
NewCHILD,,,1000,774,771,219,802,968,989,360,
NewCHILD,,,1000,153,148,990,874,557,168,915,
NewCHILD,,,1000,323,276,774,860,947,355,782,
NewCHILD,,,1000,302,495,372,573,659,712,218,
NewCHILD,,,973,36,289,500,1000,386,310,212,
NewCHILD,,,1000,206,626,863,601,722,288,350,
NewCHILD,,,1000,164,561,583,940,529,179,985,
NewCHILD,,,818,74,109,554,637,1000,426,338,
NewCHILD,,,963,588,434,831,579,1000,486,542,
NewCHILD,,,1000,95,198,345,575,524,313,710,
NewCHILD,,,1000,302,495,372,573,513,712,472,
NewCHILD,,,812,134,687,474,763,430,146,1000,
NewCHILD,,,1000,650,224,863,601,722,288,367,
NewCHILD,,,1000,105,271,468,546,361,290,198,
NewCHILD,,,1000,553,611,677,779,981,734,413,
NewCHILD,,,1000,835,597,449,692,619,859,263,
NewCHILD,,,969,88,129,1000,755,735,830,401,
NewCHILD,,,818,74,163,554,637,1000,426,338,
NewCHILD,,,920,190,855,391,597,1000,178,322,
NewCHILD,,,701,429,158,1000,422,957,354,395,
NewCHILD,,,575,352,461,497,346,1000,290,324,
NewCHILD,,,1000,34,271,468,546,706,290,198,
NewCHILD,,,1000,145,311,516,831,468,159,871,
NewCHILD,,,1000,399,771,219,892,968,989,308,
NewCHILD,,,952,197,214,822,1000,868,184,536,
NewCHILD,,,1000,164,638,583,940,529,179,985,
NewCHILD,,,1000,604,597,449,692,619,859,743,
NewCHILD,,,780,71,104,1000,608,592,668,323,
NewCHILD,,,910,556,410,1000,547,945,459,512,
NewCHILD,,,1000,195,591,814,567,681,272,330,
NewCHILD,,,1000,387,351,583,940,529,179,985,
NewCHILD,,,1000,553,611,768,779,758,734,413,
NewCHILD,,,1000,95,198,345,703,524,313,710,
NewCHILD,,,1000,260,425,320,493,441,612,188,
NewCHILD,,,1000,604,597,621,692,619,859,743,
NewCHILD,,,1000,373,397,677,734,529,425,321,
NewCHILD,,,1000,491,224,863,952,722,288,367,
NewCHILD,,,742,765,167,640,446,1000,375,418,
NewCHILD,,,1000,399,771,219,906,968,989,308,
NewCHILD,,,818,74,163,554,637,1000,655,338,
NewCHILD,,,833,461,509,640,649,1000,612,344,
NewCHILD,,,927,89,184,320,533,486,291,1000,
NewCHILD,,,1000,364,597,449,692,810,859,263,
NewCHILD,,,989,88,129,1000,755,735,830,401,
NewCHILD,,,1000,302,495,759,573,513,712,472,
NewCHILD,,,853,660,1000,187,684,826,844,258,
NewCHILD,,,1000,145,311,516,831,570,159,871,
NewCHILD,,,927,89,184,737,533,486,291,1000,
NewCHILD,,,1000,95,198,345,575,524,313,885,
NewCHILD,,,969,88,129,1000,755,735,830,455,
NewCHILD,,,952,197,257,822,1000,687,184,536,
NewCHILD,,,988,546,1000,669,770,749,725,408,
NewCHILD,,,1000,95,682,345,703,524,313,710,
NewCHILD,,,1000,373,397,677,734,529,800,290,
NewCHILD,,,1000,260,425,758,493,441,612,188,
NewCHILD,,,1000,364,597,449,692,619,880,263,
NewCHILD,,,678,62,91,1000,528,514,581,281,
NewCHILD,,,1000,164,351,583,940,994,179,985,
NewCHILD,,,969,458,129,1000,755,735,830,455,
NewCHILD,,,733,448,165,633,787,1000,370,413,
NewCHILD,,,949,435,652,491,757,1000,939,287,
NewCHILD,,,1000,364,597,919,692,619,859,263,
NewCHILD,,,1000,95,198,345,699,524,313,774,
NewCHILD,,,1000,95,198,345,574,523,313,709,
NewCHILD,,,927,89,184,737,844,486,291,1000,
NewCHILD,,,1000,95,198,345,575,846,313,885,
NewCHILD,,,1000,770,554,158,576,739,710,217,
NewCHILD,,,1000,466,397,677,734,529,800,290,
NewCHILD,,,988,546,1000,669,770,749,928,408,
NewCHILD,,,1000,373,397,677,734,833,425,290,
NewCHILD,,,988,546,1000,669,770,749,928,835,
NewCHILD,,,1000,553,635,677,779,981,734,413,
NewCHILD,,,988,847,1000,669,770,749,928,835,
NewCHILD,,,950,87,127,980,1000,720,813,393,
NewCHILD,,,904,500,1000,612,704,887,664,374,
NewCHILD,,,832,1001,842,564,649,631,782,703,
NewCHILD,,,1000,162,492,678,473,568,227,275,
NewCHILD,,,1000,936,611,677,779,981,734,413,
NewCHILD,,,891,147,313,520,838,472,160,1000,
NewCHILD,,,1000,373,724,677,734,833,425,290,
NewCHILD,,,957,91,190,331,551,502,300,1000,
NewCHILD,,,845,724,855,572,659,641,794,1000,
NewCHILD,,,1000,206,626,972,601,722,288,350,
NewCHILD,,,1000,527,582,645,742,934,699,393,
NewCHILD,,,958,897,586,1000,747,940,704,396,
NewCHILD,,,822,454,1000,557,641,623,772,695,
NewCHILD,,,1000,147,314,521,839,472,160,879,
NewCHILD,,,1000,328,198,345,574,523,313,709,
NewCHILD,,,853,472,863,1001,665,647,626,353,
NewCHILD,,,1000,79,164,285,578,433,259,640,
NewCHILD,,,702,388,429,475,547,1000,515,290,
NewCHILD,,,927,89,184,397,533,486,291,1000,
NewCHILD,,,969,947,129,1000,755,735,830,455,
NewCHILD,,,1000,766,397,677,734,833,425,290,
NewCHILD,,,1000,883,397,677,734,833,425,290,
NewCHILD,,,1000,84,172,299,498,454,272,934,
NewCHILD,,,1000,95,198,345,574,523,313,730,
